title,start,end,location,date,published
Talk Magazine Annual Black History Month Celebration and Merit Awards Reception ,18:00:00,19:00:00,"Hilton Garden Inn Pittsburgh University Place, 3454 Forbes Avenue, Pittsburgh, PA 15213",2/14/2014,2/14/2014
"Kappa Foundation's Annual event \Party with a Cause\""""",18:00:00,20:00:00,"Fairmont Hotel, 501 Market Street, Pittsburgh, PA 15222",2/15/2014,2/15/2014
Thelma Lovette YMCA 1st Annual Black History Month Event,12:00:00,14:00:00,"Thelma Lovette YMCA, 2114 Centre Avenue, PIttsburgh, PA 15219",2/15/2014,2/15/2014
Justice for Baby Marcus Rally,14:00:00,14:30:00,"300 Brownsville Road, Pittsburgh, PA 15210",2/15/2014,2/15/2014
Accepting Award from K. Leroy Irvis Tenant Council,15:00:00,16:00:00,"K. Leroy Irvis Towers, 715 Mercer Street, Pittsburgh, PA 15219",2/16/2014,2/15/2014
Interview with Wuhan Journalist Delegation,11:30:00,12:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/17/2014,2/17/2014
Fundraiser for Montgomery County Commissioner Josh Shapiro,17:00:00,18:00:00,"Tamari, 3519 Butler Street, Pittsburgh, PA 15201",2/17/2014,2/17/2014
Campaign Kick-off for Representative Erin Molchany,18:30:00,19:30:00,"City Theatre, 1300 Bingham Street, Pittsburgh, PA 15203",2/17/2014,2/17/2014
Working in Office,12:00:00,16:00:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/17/2014,2/17/2014
"\The Role of Public Private Partnerships in Restructuring Economies\"" European Delegation visitng Mayor's office""",16:00:00,16:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/17/2014,2/17/2014
Urban League launch of the Bank On Greater Pittsburgh initiative press conference,9:30:00,9:45:00,"Heinz History Center, 1212 Smallman Street, Pittsburgh, PA 15222",2/18/2014,2/18/2014
Meeting with Carlow University President Dr. Suzanne Mellon,11:00:00,11:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/18/2014,2/18/2014
Chuck Cooper Foundation Luncheon,12:00:00,12:45:00,"Lexus Club, PNC Park, 115 Federal Street, Pittsburgh, PA 15212",2/18/2014,2/18/2014
"Meeting with County Executive Rich Fitzgerald, VisitPGH, and Omni William Penn ",13:00:00,13:45:00,"Omni William Penn, 530 William Penn Place, Pittsburgh, PA 15219",2/18/2014,2/18/2014
"Press Conference with Councilman Gilman addressing Uber, Lyft, and transportation options ",14:00:00,14:30:00,"Mayor's Conference Room, 414 Grant Street, Pittsburgh, PA 15219",2/18/2014,2/18/2014
Meeting with Rep. Dom Costa,15:00:00,15:45:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/18/2014,2/18/2014
National Immigration Lawyers Association Meeting,16:30:00,17:00:00,"Mayor's conference room, 414 Grant Street, Pittsburgh, PA 15219 ",2/18/2014,2/18/2014
National Society Black Engineers Annual Convention,19:00:00,19:45:00,"Savoy Restaurant, 2623 Penn Avenue, Pittsburgh, PA 15222",2/18/2014,2/18/2014
Meeting with Mark Peterson and Bridgeway Capital,9:00:00,9:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/19/2014,2/19/2014
"Meeting with Jason McLennan, CEO of International Living Future Institute and Richard Piacentini, Executive Director of Phipps Conservatory ",10:00:00,11:00:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/19/2014,2/19/2014
Meeting with Frank Polito and Comcast,11:00:00,12:00:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/19/2014,2/19/2014
Press Conference with Councilwoman Gross regarding Neighborhood Services,13:00:00,13:30:00,"43rd Street and Butler Street, Pittsburgh, PA 15201",2/19/2014,2/19/2014
Working in Office,14:00:00,18:00:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219 ",2/19/2014,2/19/2014
"On Air with WDVE Randy Baumann, Call in",8:30:00,8:35:00,414 Grant St.,2/20/2014,2/20/2014
Swearing in of Fire Bureau Promotions,10:00:00,10:30:00,"City Council Chambers, 414 Grant Street, Pittsburgh, PA 15219 ",2/20/2014,2/20/2014
Meeting with Treasurer Rob McCord ,11:00:00,11:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/20/2014,2/20/2014
Working in office,11:30:00,13:00:00,"Mayor's Office, 414 Grant Street, Pittsburgh, PA 15219",2/20/2014,2/20/2014
"Meeting with Dick Hadley, Executive Director of Allegheny League of Municipalities",13:00:00,13:20:00,"Mayor's Office, 414 Grant Street, Pittsburgh, PA 15219",2/20/2014,2/20/2014
"Meeting with Rob Conroy, Ceasefire",13:30:00,14:00:00,"Mayor's Office, 414 Grant Street, PIttsburgh, PA 15219",2/20/2014,2/20/2014
Working in Office,14:00:00,15:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/20/2014,2/20/2014
Meeting with Lee Haller,15:30:00,16:30:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/20/2014,2/20/2014
Iron Lung Hockey League Game ,22:30:00,23:30:00,"84 Lumber Arena, 7600 Grand Avenue, Pittsburgh, PA 15225",2/20/2014,2/20/2014
Meeting with Congressman Rothfus,9:00:00,9:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
"Senior Center's Advisory Council Installation, Swearing in of new officers",10:00:00,10:30:00,"Tree of Life Congregation,5898 Wilkins Ave, Pittsburgh, PA 15217",2/21/2014,2/21/2014
Meeting regarding Duolingo,11:00:00,11:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
Pizza Party to watch first period of USA vs Canada Men's Hockey Semifinal Game,12:00:00,12:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
Working in office,12:30:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
"Meeting with Thomas Lamb, PNC BANK",14:30:00,15:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
"Meeting with Jonathan Kamin, Joe Mistick, and Kevin Acklin",15:30:00,16:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
Working in office,16:00:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/21/2014,2/21/2014
The Mistrials of Love musical comedy,18:15:00,20:15:00,"CLO Cabaret Theater, 719 Liberty Ave, Pittsburgh, PA 15222",2/21/2014,2/21/2014
Rep. Ed Gainey Campaign Kick-off,11:00:00,11:30:00,"CEA, 7120 Kelly Street, Pittsburgh, PA 15208",2/22/2014,2/22/2014
Patching Potholes Press Conference,12:30:00,13:00:00,"Penn &amp; Negley, Pittsburgh, PA 15206",2/22/2014,2/22/2014
Presenting Proclamation at Roots of Rock and Roll show,16:30:00,17:30:00,"Location:Benedum Center, 719 Liberty Avenue, Pittsburgh, PA 15222",2/22/2014,2/22/2014
Pittsburgh School of Drama Centennial Celebration at CMU,17:30:00,18:30:00,"Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh PA 15213",2/22/2014,2/22/2014
"Co-Chair Roger Humprie's \Pass It On\"" film premiere""",18:30:00,19:30:00,"Location:Manchester Craftsmen&#39;s Guild, 1815 Metropolitan Street, Pittsburgh, PA 15233",2/22/2014,2/22/2014
"Belle Voci \Love A Many Splendored Thing\"" Concert""",19:30:00,21:00:00,"Location:Faith United Methodist Church,261 W Chapel Ridge Road,Pittsburgh, PA 15238",2/22/2014,2/22/2014
New City Church Service,11:00:00,11:30:00,"New City Church, 304 Forbes Avenue, Pittsburgh, PA 15222",2/23/2014,2/22/2014
Presenting proclamation for Henry Highland Garnett Day,12:30:00,13:00:00,"Location:Grace Memorial Presbyterian Church, 1000 Bryn Mawr Road, Pittsburgh, PA 15219",2/23/2014,2/22/2014
Presenting awards at Steel City Codefest,14:00:00,16:00:00,"Location:American Eagle Outfitters-Corporate Office,77 Hot Metal Street,Pittsburgh, PA 15203",2/23/2014,2/22/2014
"Mayor Council Weekly meeting with Council President, Council Pro-tem, and Council Finance Chair",10:00:00,11:00:00,"Mayor&#39;s Conference Room, 414 Grant Street, Pittsburgh, PA 15219",2/24/2014,2/24/2014
Meeting with Sam Ayman and Mr. Nakiboglu,11:00:00,11:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/24/2014,2/24/2014
Essential Pittsburgh Radio Show,12:06:00,12:30:00,"WESA Studio, 67 Bedford Square, Pittsburgh, PA 15203",2/24/2014,2/24/2014
Meeting with Chairman Powelson of the PA Public Utility Commission,13:00:00,14:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/24/2014,2/24/2014
Meeting with Judge Manning and Chief Huss,14:00:00,15:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/24/2014,2/24/2014
Weekly Meeting with Chiefs,16:00:00,17:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",2/24/2014,2/24/2014
Steel Valley Authority meeting,18:00:00,19:00:00,"Grandview Country Club, 1000 Club House Drive, North Braddock, PA 15104",2/24/2014,2/24/2014
City County Update with Mayor and County Executive,10:00:00,10:30:00,"County Executive&#39;s office, 436 Grant Street, Pittsburgh, PA 15219",2/25/2014,2/25/2014
Working in Office,11:00:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/25/2014,2/25/2014
Bloomfield Business Network dinner and reception,18:30:00,20:00:00,"Location:Lombardozzi&#39;s, 4786 Liberty Avenue, Pittsburgh, PA 15224",2/25/2014,2/25/2014
Meeting with US Department of Health and Human Services Region III Director Joanne Grossi,10:00:00,11:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/26/2014,2/26/2014
Meeting with Phil Hallen,11:30:00,12:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/26/2014,2/26/2014
Press Conference with Auditor General DePasquale regarding Pension Reform,12:00:00,13:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",2/26/2014,2/26/2014
Working in Office,13:00:00,14:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/26/2014,2/26/2014
Interview with Washington Post,14:00:00,15:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/26/2014,2/26/2014
Meeting with Rep. Ravenstahl,16:00:00,16:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/26/2014,2/26/2014
